id,username,gender,age,province,city,education,height,weight,race,least_age,most_age,least_height,most_height,aim_race,aim_education,aim_marriage,aim_home
13756382,大器晚成,M,29,湖北,黄冈,高中中专及以下,170,0,--,18,20,160,165,不限,高中中专及以下,未婚,不限
13757589,大漠孤烟,M,27,山东,威海,本科,175,0,--,20,50,150,180,不限,不限,不限,不限
13757830,fwc2000,F,37,上海,长宁,大专,165,0,--,27,34,169,172,不限,不限,不限,不限
13761410,Мickēy,F,28,北京,大兴,高中中专及以下,160,45,汉,19,22,165,180,不限,不限,未婚,不限
13763294,志在必得YY,M,41,广东,佛山,高中中专及以下,170,50,汉,27,41,157,170,不限,不限,不限,不限
13764229,奔奔,F,38,北京,东城,本科,167,55,汉,28,35,172,182,不限,本科或以上,未婚,不限
13764823,风中雨点,M,35,广东,深圳,高中中专及以下,168,0,--,20,50,150,180,不限,不限,不限,不限
13763735,天空,F,38,北京,朝阳,本科,162,45,汉,32,40,170,185,不限,本科或以上,未婚,不限
13765600,想结婚了啊,M,32,广西,桂林,大专,179,72,汉,18,24,159,169,不限,不限,未婚,不限
13768572,鲜花蛋糕,M,37,安徽,蚌埠,本科,178,0,--,21,28,150,173,不限,不限,不限,不限
13769836,娅,F,29,上海,嘉定,本科,162,0,汉,20,25,174,182,不限,本科或以上,未婚,不限
13770822,似曾相识,M,49,安徽,淮南,大专,170,0,汉,28,38,156,170,不限,不限,不限,不限
13773530,茶茶,F,38,广东,佛山,本科,156,48,--,29,36,168,175,不限,大专或以上,未婚,不限
13774106,琦丰,M,42,陕西,西安,大专,183,0,汉,26,33,165,190,不限,大专,未婚,不限
13775422,猪猪,M,53,广西,南宁,本科,186,0,--,36,43,150,181,不限,不限,不限,不限
13776356,！爱是什么！,M,34,新疆,哈密,高中中专及以下,172,0,--,18,25,165,172,不限,不限,不限,不限
13777707,wangle,M,35,山东,潍坊,大专,174,0,--,20,50,150,180,不限,不限,不限,不限
13778541,wellman,M,47,山东,泰安,硕士,178,0,--,25,35,160,168,不限,不限,不限,不限
13778902,CM,M,34,四川,泸州,大专,164,0,--,18,25,150,159,不限,大专,未婚,不限
13779225,蝶恋花,M,32,广东,中山,高中中专及以下,180,70,汉,20,50,150,180,不限,不限,不限,不限
13779554,太子飞,M,37,广东,广州,高中中专及以下,165,45,汉,20,30,150,170,不限,不限,未婚,不限
13780047,车来车往,M,36,北京,丰台,大专,175,70,汉,20,30,150,165,不限,不限,不限,不限
13780688,老程♡♡,M,46,四川,成都,大专,174,71,汉,28,33,160,165,不限,大专或以上,未婚,不限
13783126,美丽相约,F,42,黑龙江,牡丹江,大专,160,0,汉,33,40,165,190,不限,不限,不限,不限
13786008,同花顺,M,35,海南,海口,本科,177,0,--,18,25,161,171,不限,大专或以上,未婚,不限
13786643,秋风,M,52,广西,来宾,本科,170,0,--,36,43,156,165,不限,不限,离异,不限
13787550,ジ铞ル啷噹,M,29,湖南,邵阳,高中中专及以下,165,0,--,18,25,150,160,不限,不限,不限,不限
13788665,呕吧嗓,M,30,陕西,西安,大专,178,60,汉,18,25,158,173,不限,不限,未婚,不限
13788789,鈦儍.﹖,F,31,四川,成都,大专,160,0,--,22,35,170,180,不限,大专,未婚,不限
13789180,醉眼朦胧,M,36,山东,济宁,大专,180,0,--,20,50,150,180,不限,不限,不限,不限
13789654,Edison,M,38,广东,深圳,本科,172,0,--,22,29,150,167,不限,不限,不限,不限
13791319,4988,M,28,广东,深圳,大专,170,0,--,20,50,150,180,不限,不限,不限,不限
13792871,小眀,M,35,江西,赣州,本科,168,60,汉,20,26,158,163,不限,大专或以上,未婚,不限
13794153,个性,M,30,陕西,西安,本科,180,0,--,19,22,165,175,不限,大专或以上,未婚,不限
13794409,夏天,M,36,陕西,西安,大专,172,100,汉,22,26,160,170,不限,不限,未婚,不限
13795023,冬日阳光,M,40,海南,三亚,本科,161,0,汉,24,29,155,161,不限,不限,未婚,不限
13796048,新的开始,M,33,其他国家,德国,硕士,178,0,--,20,50,150,180,不限,不限,不限,不限
13797873,柠檬,F,39,辽宁,大连,大专,160,51,汉,30,40,175,180,不限,大专,未婚,不限
13798302,蓝莓,F,44,广东,广州,大专,156,48,汉,40,48,165,180,不限,不限,未婚、丧偶,不限
13799095,棉花糖love,M,31,安徽,合肥,本科,175,0,--,18,22,150,170,不限,不限,不限,不限
13799946,﹎7蒶呆,F,28,广东,珠海,本科,160,0,--,20,50,160,190,不限,不限,不限,不限
13800321,kiss,M,30,浙江,温州,高中中专及以下,175,0,--,18,21,165,170,不限,高中中专及以下,未婚,不限
13800454,弹吉他的鱼,F,32,浙江,绍兴,大专,168,60,汉,22,29,175,185,不限,大专或以上,未婚,不限
13802830,悲剧中的浪子,M,34,河北,唐山,本科,174,70,汉,20,30,160,170,不限,大专,未婚,不限
13803317,认真寻找人生伴侣,F,42,北京,通州,高中中专及以下,162,0,--,33,45,170,180,不限,不限,不限,不限
13805432,只要玻璃鞋不要王子,F,30,山东,威海,高中中专及以下,172,55,汉,20,50,160,190,不限,不限,不限,不限
13806929,Tony,M,35,安徽,合肥,本科,182,0,--,20,50,150,180,不限,不限,不限,不限
13807905,天涯浪子,M,36,新疆,乌鲁木齐,高中中专及以下,171,0,--,20,27,166,168,不限,高中中专及以下,未婚,不限
13808713,可欣,F,32,湖南,衡阳,大专,155,40,汉,25,30,168,175,不限,大专或以上,未婚,星级会员 
13808720,情缘,F,32,江苏,苏州,硕士,168,0,--,24,30,175,185,不限,本科或以上,不限,不限
13808888,莲子的心♡,F,39,江西,南昌,本科,160,51,汉,28,38,168,178,不限,大专或以上,不限,星级会员 
13808940,jiayu919,M,31,广东,广州,高中中专及以下,170,0,汉,18,22,168,170,不限,高中中专及以下,离异,不限
13809786,承诺放飞,M,34,广东,揭阳,大专,172,0,--,22,28,155,167,不限,大专或以上,未婚,不限
13815095,青柳立夏殿,F,29,广东,广州,本科,162,0,--,20,50,160,190,不限,不限,不限,不限
13815269,如影随形,M,40,湖北,十堰,大专,176,0,--,20,50,150,180,不限,不限,不限,不限
13815382,bobo,M,35,辽宁,葫芦岛,本科,174,0,--,20,50,150,180,不限,不限,不限,不限
13817902,可可,F,48,北京,朝阳,大专,165,0,--,41,51,172,180,不限,本科,不限,不限
13818001,楠楠,M,30,上海,徐汇,大专,175,0,--,20,50,150,180,不限,不限,不限,不限
